timestamp,usage,client_id
2014-01-01 01:00:00,11562,COMED
2014-01-01 01:00:00,11481,DOM
2014-01-01 01:00:00,7340,FE
2014-01-01 02:00:00,11135,COMED
2014-01-01 02:00:00,11415,DOM
2014-01-01 02:00:00,7098,FE
2014-01-01 03:00:00,10766,COMED
2014-01-01 03:00:00,11363,DOM
2014-01-01 03:00:00,6986,FE
2014-01-01 04:00:00,10489,COMED
2014-01-01 04:00:00,11436,DOM
2014-01-01 04:00:00,6898,FE
2014-01-01 05:00:00,10326,COMED
2014-01-01 05:00:00,11614,DOM
2014-01-01 05:00:00,6870,FE
2014-01-01 06:00:00,10296,COMED
2014-01-01 06:00:00,11960,DOM
2014-01-01 06:00:00,6978,FE
2014-01-01 07:00:00,10433,COMED
2014-01-01 07:00:00,12334,DOM
2014-01-01 07:00:00,7105,FE
2014-01-01 08:00:00,10626,COMED
2014-01-01 08:00:00,12508,DOM
2014-01-01 08:00:00,7218,FE
2014-01-01 09:00:00,10640,COMED
2014-01-01 09:00:00,12559,DOM
2014-01-01 09:00:00,7240,FE
2014-01-01 10:00:00,10657,COMED
2014-01-01 10:00:00,12322,DOM
2014-01-01 10:00:00,7418,FE
2014-01-01 11:00:00,10927,COMED
2014-01-01 11:00:00,11846,DOM
2014-01-01 11:00:00,7654,FE
2014-01-01 12:00:00,11137,COMED
2014-01-01 12:00:00,11428,DOM
2014-01-01 12:00:00,7750,FE
2014-01-01 13:00:00,11292,COMED
2014-01-01 13:00:00,10990,DOM
2014-01-01 13:00:00,7804,FE
2014-01-01 14:00:00,11344,COMED
2014-01-01 14:00:00,10573,DOM
2014-01-01 14:00:00,7805,FE
2014-01-01 15:00:00,11371,COMED
2014-01-01 15:00:00,10344,DOM
2014-01-01 15:00:00,7758,FE
2014-01-01 16:00:00,11389,COMED
2014-01-01 16:00:00,10357,DOM
2014-01-01 16:00:00,7753,FE
2014-01-01 17:00:00,11501,COMED
2014-01-01 17:00:00,10805,DOM
2014-01-01 17:00:00,7883,FE
2014-01-01 18:00:00,12263,COMED
2014-01-01 18:00:00,12033,DOM
2014-01-01 18:00:00,8473,FE
